Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),Dec (J2000),Disc Method,Number of Planets,Planet Radius,Planet Radius Limit Flag,Semi-Major Axis,Semi-Major Axis Flag,Orbital Eccentricity,Orbital Eccentricity Limit Flag, Orbital Inclination,Orbital Inclination Limit Flag,Planet Mass,Planet mass Limit Flag,Planet Density,Planet Density Limit Flag,Period,Period Limit Flag,Stellar Mass,Stellar Mass Limit Flag,Stellar Radius,Stellar Radius Limit Flag,Stellar Distance,Stellar  Distance limit Flag,Stellar Optical mag,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff, Stellar Teff Limit Flag,# of Planet Notes,Last Update,Gaia gmag,Kepmag,K2 Campaign
integer,string,integer,string,ra,dec,string,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,float,float,integer,float,integer,float,integer,string,integer,integer,integer,string,float,float,string
161,K2-219 b,220592745,K2-219 b,00 51 22.874,+08 52 03.50,Transit,3,0.120,0,,,,,86.795,0,,,,,3.901,0,1.020,0.000,1.190,0,,,12.090,0,V (Johnson),5753,0,0,2018-02-15,,11.923,8
162,K2-219 c,220592745,K2-219 c,00 51 22.874,+08 52 03.50,Transit,3,0.128,0,,,,,87.269,0,,,,,6.668,0,1.020,0.000,1.190,0,,,12.090,0,V (Johnson),5753,0,0,2018-02-15,,11.923,8
163,K2-219 d,220592745,K2-219 d,00 51 22.874,+08 52 03.50,Transit,3,0.230,0,,,,,88.287,0,,,,,11.137,0,1.020,0.000,1.190,0,,,12.090,0,V (Johnson),5753,0,0,2018-02-15,,11.923,8
164,K2-220 b,220621788,K2-220 b,00 51 04.767,+09 31 00.50,Transit,1,0.198,0,,,,,88.883,0,,,,,13.683,0,0.960,0.000,0.930,0,,,11.890,0,V (Johnson),5599,0,0,2018-02-15,,11.752,8
165,K2-221 b,220650439,K2-221 b,01 06 37.196,+10 11 22.87,Transit,1,0.150,0,,,,,85.447,0,,,,,2.399,0,1.010,0.000,0.950,0,,,12.703,0,V (Johnson),5716,0,0,2018-02-15,,12.232,8
166,K2-222 b,220709978,K2-222 b,01 05 50.947,+11 45 12.32,Transit,1,0.198,0,,,,,88.791,0,,,,,15.389,0,0.950,0.000,1.040,0,,,9.543,0,V (Johnson),5934,0,0,2018-02-15,,9.443,8
167,K2-223 b,228721452,K2-223 b,12 21 13.476,-10 16 55.33,Transit,2,0.081,0,,,,,81.505,0,,,,,0.506,0,1.070,0.000,1.010,0,,,11.431,0,V (Johnson),5859,0,0,2018-02-15,,11.325,10
168,K2-223 c,228721452,K2-223 c,12 21 13.476,-10 16 55.33,Transit,2,0.144,0,,,,,87.454,0,,,,,4.564,0,1.070,0.000,1.010,0,,,11.431,0,V (Johnson),5859,0,0,2018-02-15,,11.325,10
169,K2-224 b,228725972,K2-224 b,12 38 48.981,-10 03 38.35,Transit,1,0.148,0,,,,,87.860,0,,,,,4.479,0,0.900,0.000,0.840,0,,,12.682,0,V (Johnson),5614,0,0,2018-02-15,,12.482,10
170,K2-225 b,228734900,K2-225 b,12 26 09.910,-09 37 29.29,Transit,1,0.237,0,,,,,88.449,0,,,,,15.871,0,1.110,0.000,1.210,0,,,11.836,0,V (Johnson),5733,0,0,2018-02-15,,11.535,10
171,K2-226 b,228736155,K2-226 b,12 14 34.980,-09 33 45.51,Transit,1,0.133,0,,,,,86.719,0,,,,,3.271,0,0.890,0.000,0.820,0,,,12.308,0,V (Johnson),5397,0,0,2018-02-15,,12.042,10
172,K2-227 b,228760097,K2-227 b,12 43 47.633,-08 28 41.65,Transit,1,0.149,0,,,,,88.374,0,,,,,13.622,0,0.950,0.000,0.890,0,,,12.015,0,V (Johnson),5673,0,0,2018-02-15,,11.512,10
173,K2-228 b,228798746,K2-228 b,12 29 10.748,-06 50 03.33,Transit,1,0.124,0,,,,,87.465,0,,,,,2.698,0,0.740,0.000,0.700,0,,,12.995,0,V (Johnson),4764,0,0,2018-02-15,,12.660,10
174,K2-229 b,228801451,K2-229 b,12 27 29.582,-06 43 18.70,Transit,2,0.112,0,,,,,81.594,0,,,,,0.584,0,0.860,0.000,0.800,0,,,10.985,0,V (Johnson),5231,0,0,2018-02-15,,10.955,10
175,K2-229 c,228801451,K2-229 c,12 27 29.582,-06 43 18.70,Transit,2,0.193,0,,,,,88.329,0,,,,,8.328,0,0.860,0.000,0.800,0,,,10.985,0,V (Johnson),5231,0,0,2018-02-15,,10.955,10
176,K2-230 b,228804845,K2-230 b,12 45 27.169,-06 34 33.99,Transit,1,0.173,0,,,,,85.990,0,,,,,2.861,0,1.130,0.000,1.180,0,,,12.707,0,V (Johnson),6002,0,0,2018-02-15,,12.551,10
177,K2-33 b,205117205,K2-33 b,16 10 14.736,-19 19 09.38,Transit,1,0.450,0,,,0.000,0,89.100,0,3.700,1,,,5.425,0,0.560,0.000,1.050,0,,,15.714,0,V (Johnson),3540,0,0,2016-06-23,,14.357,2
178,K2-41 b,212697709,WASP-157 b,13 26 37.247,-08 19 03.22,Transit,1,1.065,0,0.053,0,0.000,0,84.930,0,0.574,0,0.640,0,3.952,0,1.260,0.000,1.130,0,,,12.910,0,V (Johnson),5838,0,0,2016-06-23,12.098,12.193,6
179,K2-56 b,210848071,BD+20 594 b,03 34 36.232,+20 35 57.24,Transit,1,0.199,0,0.241,0,0.000,0,89.550,0,0.051,0,7.890,0,41.685,0,0.960,0.000,0.930,0,,,11.038,0,V (Johnson),5766,0,1,2016-07-28,10.794,11.040,4
180,K2-108 b,211736671,K2-108 b,08 13 31.650,+16 25 10.59,Transit,1,0.471,0,0.057,0,0.180,0,,,0.187,0,2.220,0,4.734,0,1.120,0.000,1.750,0,,,12.330,0,V (Johnson),5474,0,0,2017-02-09,,12.160,5
181,K2-96 d,220383386,HD 3167 d,00 34 57.524,+04 22 53.29,Radial Velocity,3,,,0.078,0,0.360,1,,,0.022,0,,,8.509,0,0.860,0.000,0.860,0,45.800,0,8.940,0,V (Johnson),5261,0,0,2017-06-08,,8.945,8
182,K2-114 b,211418729,K2-114 b,08 31 31.912,+11 55 20.15,Transit,1,0.942,0,0.093,0,0.000,0,89.530,0,1.850,0,2.990,0,11.391,0,0.830,0.000,0.830,0,,,14.556,0,V (Johnson),5027,0,0,2017-09-15,,14.286,5
183,K2-115 b,211442297,K2-115 b,08 26 12.827,+12 16 54.97,Transit,1,1.115,0,0.137,0,0.137,0,88.820,0,0.840,0,0.820,0,20.273,0,0.830,0.000,0.880,0,,,13.362,0,V (Johnson),5560,0,0,2017-09-28,,13.192,5
184,K2-137 b,228813918,K2-137 b,12 27 28.975,-06 11 42.81,Transit,1,0.079,0,0.006,0,0.000,0,89.600,0,0.500,1,,0,0.180,0,0.460,0.000,0.440,0,,,15.498,0,V (Johnson),3492,0,0,2017-11-16,,14.534,10
185,K2-138 b,245950175,K2-138 b,23 15 47.769,-10 50 58.91,Transit,5,0.140,0,0.034,0,0.403,1,86.900,0,,0,,0,2.353,0,0.930,0.000,0.860,0,183.000,0,12.210,0,V (Johnson),5378,0,0,2018-01-11,,12.069,12
186,K2-138 c,245950175,K2-138 c,23 15 47.769,-10 50 58.91,Transit,5,0.225,0,0.045,0,0.296,1,87.500,0,,0,,0,3.560,0,0.930,0.000,0.860,0,183.000,0,12.210,0,V (Johnson),5378,0,0,2018-01-11,,12.069,12
187,K2-138 d,245950175,K2-138 d,23 15 47.769,-10 50 58.91,Transit,5,0.237,0,0.059,0,0.348,1,87.900,0,,0,,0,5.405,0,0.930,0.000,0.860,0,183.000,0,12.210,0,V (Johnson),5378,0,0,2018-01-11,,12.069,12
188,K2-138 e,245950175,K2-138 e,23 15 47.769,-10 50 58.91,Transit,5,0.294,0,0.078,0,0.315,1,88.700,0,,0,,0,8.261,0,0.930,0.000,0.860,0,183.000,0,12.210,0,V (Johnson),5378,0,0,2018-01-11,,12.069,12
189,K2-138 f,245950175,K2-138 f,23 15 47.769,-10 50 58.91,Transit,5,0.251,0,0.104,0,0.364,1,89.030,0,,0,,0,12.758,0,0.930,0.000,0.860,0,183.000,0,12.210,0,V (Johnson),5378,0,0,2018-01-11,,12.069,12
190,K2-22 b,201637175,K2-22 b,11 17 55.877,+02 37 08.65,Transit,1,0.223,1,0.009,0,,,,,1.400,1,,,0.381,0,0.600,0.000,0.570,0,,,15.597,0,V (Johnson),3830,0,0,2015-10-15,,14.928,1
191,K2-23 b,206103150,WASP-47 b,22 04 48.731,-12 01 07.99,Transit,4,1.150,0,0.052,0,0.003,0,89.020,0,1.210,0,0.980,0,4.161,0,1.110,0.000,1.160,0,200.000,0,11.900,0,V (Johnson),5576,0,1,2016-12-01,,11.762,3
192,K2-23 c,206103150,WASP-47 c,22 04 48.731,-12 01 07.99,Radial Velocity,4,,,1.410,0,0.360,0,87.000,0,1.570,0,,,580.700,0,1.110,0.000,1.160,0,200.000,0,11.900,0,V (Johnson),5576,0,1,2016-12-01,,11.762,3
193,K2-23 d,206103150,WASP-47 d,22 04 48.731,-12 01 07.99,Transit,4,0.331,0,0.088,0,0.006,0,89.220,0,0.053,0,1.800,0,9.095,0,1.110,0.000,1.160,0,200.000,0,11.900,0,V (Johnson),5576,0,1,2016-12-01,,11.762,3
194,K2-23 e,206103150,WASP-47 e,22 04 48.731,-12 01 07.99,Transit,4,0.162,0,0.017,0,0.030,0,86.200,0,0.029,0,8.500,0,0.790,0,1.110,0.000,1.160,0,200.000,0,11.900,0,V (Johnson),5576,0,1,2016-12-01,,11.762,3
195,K2-24 b,203771098,K2-24 b,16 10 17.692,-24 59 25.20,Transit,2,0.520,0,0.154,0,,,88.950,0,,,,,20.885,0,1.120,0.000,1.210,0,,,11.070,0,V (Johnson),5743,0,0,2016-07-07,10.860,11.648,2
196,K2-24 c,203771098,K2-24 c,16 10 17.692,-24 59 25.20,Transit,2,0.723,0,0.247,0,,,89.430,0,,,,,42.363,0,1.120,0.000,1.210,0,,,11.070,0,V (Johnson),5743,0,0,2016-07-07,10.860,11.648,2
197,K2-27 b,201546283,K2-27 b,11 26 03.640,+01 13 50.66,Transit,1,0.400,0,0.067,0,0.251,0,,,0.097,0,1.870,0,6.771,0,0.870,0.000,0.890,0,,,12.640,0,V (Johnson),5248,0,0,2017-02-09,,12.428,1
198,K2-28 b,206318379,K2-28 b,22 22 29.854,-07 57 19.32,Transit,1,0.207,0,0.021,0,0.000,0,88.900,0,,,,,2.260,0,0.260,0.000,0.290,0,,,16.061,0,V (Johnson),3214,0,0,2016-02-25,,14.854,3
199,K2-19 d,201505350,K2-19 d,11 39 50.475,+00 36 12.87,Transit,3,0.102,0,0.034,0,,,85.830,0,,,,,2.509,0,0.930,0.000,0.860,0,,,13.000,0,V (Johnson),5430,0,0,2016-07-07,,12.806,1
200,K2-31 b,204129699,K2-31 b,16 21 45.780,-23 32 52.31,Transit,1,1.060,0,0.022,0,0.000,0,79.900,0,1.774,0,,,1.258,0,0.910,0.000,0.780,0,,,10.775,0,V (Johnson),5280,0,1,2016-12-01,10.461,10.607,2
201,K2-32 b,205071984,K2-32 b,16 49 42.261,-19 32 34.16,Transit,3,0.458,0,0.080,0,0.000,0,,,0.052,0,0.670,0,8.992,0,0.860,0.000,0.840,0,,,12.310,0,V (Johnson),5275,0,0,2017-02-09,,12.005,2
202,K2-32 c,205071984,K2-32 d,16 49 42.261,-19 32 34.16,Transit,3,0.306,0,0.186,0,0.000,0,,,0.032,0,1.380,0,31.715,0,0.860,0.000,0.840,0,,,12.310,0,V (Johnson),5275,0,0,2017-02-09,,12.005,2
203,K2-32 d,205071984,K2-32 c,16 49 42.261,-19 32 34.16,Transit,3,0.269,0,0.140,0,0.000,0,,,0.038,1,2.700,1,20.660,0,0.860,0.000,0.840,0,,,12.310,0,V (Johnson),5275,0,0,2017-02-09,,12.005,2
204,K2-34 b,212110888,K2-34 b,08 30 18.906,+22 14 09.27,Transit,1,1.350,0,0.044,0,0.000,0,82.060,0,1.760,0,0.940,0,2.996,0,1.280,0.000,1.530,0,,,11.548,0,V (Johnson),6132,0,0,2016-06-03,11.413,11.441,5
205,K2-40 b,206154641,WASP-75 b,22 49 32.570,-10 40 32.02,Transit,1,1.270,0,0.037,0,0.000,0,82.000,0,1.070,0,0.690,0,2.484,0,1.140,0.000,1.260,0,260.000,0,11.450,0,V (Johnson),6100,0,0,2014-05-14,,11.299,3
206,K2-8 c,201445392,K2-8 c,11 19 10.481,-00 17 03.75,Transit,2,0.215,0,0.053,0,,,86.700,0,,,,,5.064,0,0.780,0.000,0.740,0,,,14.610,0,V (Johnson),4870,0,0,2016-07-07,,14.384,1
